(443, 737, 7)
(2867, 3290, 3)
(1051, 1192, 3)
(654, 487, 4)
(52, 883, 7)
(116, 103, 3)
(2647, 3421, 5)
(1271, 2482, 5)
(1563, 569, 4)
(691, 700, 3)
(2398, 1194, 4)
(2739, 1065, 4)
(393, 371, 3)
(2489, 276, 5)
(1863, 3730, 5)
(1551, 2239, 4)
(3160, 729, 5)
(425, 357, 3)
(3289, 2445, 4)
(394, 637, 3)
(1348, 548, 4)
(1343, 3420, 4)
(1120, 141, 4)
(1755, 3362, 4)
(1196, 3375, 4)
(3035, 3459, 6)
(2733, 2729, 3)
(2848, 2475, 5)
(776, 2195, 7)
(1420, 3203, 4)
(1112, 940, 3)
(420, 1406, 3)
(1234, 2572, 5)
(1396, 1208, 3)
(2560, 752, 8)
(948, 2878, 4)
(1719, 1301, 3)
(467, 1884, 4)
(1367, 796, 7)
(2541, 619, 5)
(1909, 3893, 5)
(1223, 1772, 3)
(324, 2459, 3)
(498, 3960, 5)
(513, 2178, 4)
(2571, 3774, 6)
(943, 2030, 5)
(1826, 2790, 4)
(296, 2682, 5)
(1733, 3665, 5)
(2597, 18, 5)
(1206, 213, 4)
(3294, 1610, 4)
(3683, 1085, 3)
(686, 3530, 4)
(1537, 189, 4)
(3916, 657, 5)
(2520, 2609, 3)
(941, 1437, 3)
(3436, 3210, 3)
(1774, 3639, 5)
(774, 2636, 7)
(2418, 3751, 6)
(1266, 1261, 3)
(655, 1481, 4)
(463, 2557, 4)
(1139, 561, 4)
(2040, 720, 8)
(1216, 2121, 5)
(3728, 2396, 6)
(1223, 869, 6)
(3871, 3839, 3)
(3179, 2239, 5)
(3397, 2164, 5)
(207, 1012, 4)
(2279, 2063, 3)
(2335, 1659, 5)
(46, 238, 3)
(729, 2665, 5)
(275, 2002, 5)
(1559, 3386, 4)
(3865, 2890, 6)
(1004, 3332, 4)
(1362, 127, 4)
(2434, 2279, 2)
(21, 3008, 5)
(894, 1806, 5)
(12, 2298, 5)
(1263, 3967, 5)
(1392, 398, 4)
(1268, 2186, 5)
(1031, 2207, 5)
(1352, 3858, 5)
(2346, 2648, 3)
(2030, 2018, 3)
(1089, 2538, 5)
(3717, 3811, 3)
(758, 2757, 6)
(3063, 1421, 4)
(2270, 91, 5)
(1997, 749, 8)
(3955, 2109, 6)
(2638, 1248, 5)
(2334, 24, 5)
(2248, 2959, 5)
(3024, 1201, 4)
(2965, 1543, 4)
(1270, 2596, 5)
(1691, 2332, 4)
(790, 817, 3)
(803, 2342, 7)
(293, 2093, 5)
(240, 684, 5)
(492, 3807, 4)
(3340, 2065, 5)
(69, 543, 5)
(474, 2637, 5)
(3452, 3730, 3)
(901, 1495, 3)
(865, 2617, 6)
(3739, 2553, 6)
(988, 2343, 4)
(484, 3432, 4)
(1330, 1, 4)
(2768, 3176, 3)
(2743, 3015, 3)
(1233, 1479, 3)
(2367, 1568, 5)
(706, 2851, 6)
(3062, 2057, 5)
(780, 1086, 7)
(3630, 1686, 5)
(2004, 2122, 3)
(1611, 1606, 3)
(3988, 1385, 6)
(3535, 443, 5)
(3259, 2404, 5)
(1021, 200, 4)
(3759, 365, 5)
(1973, 658, 5)
(116, 1281, 4)
(2872, 2098, 5)
